name;path;author;date;difficulty;topics
;D:\Files\Programming\TaskGen\data\16;Ираклий Гагуа;2011;53;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\160;ЗМШ;2013;31;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\161;ЗМШ;2013;31;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\162;ЗМШ;2013;31;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\163;ЗМШ;2013;31;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\164;ЗМШ;2013;31;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\165;ЗМШ;2013;31;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\166;ЗМШ;2013;31;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\167;ЗМШ;2013;31;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\168;ЗМШ;2013;31;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\169;ЗМШ;2013;31;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\17;25 школа;2012;70;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\170;ЗМШ;2013;31;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\171;ЗМШ;2013;31;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\172;ЗМШ;2013;31;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\173;ЗМШ;2013;31;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\174;ЗМШ;2013;31;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\175;ЗМШ;2013;31;['комбинаторика', 'буквы', '']
;D:\Files\Programming\TaskGen\data\176;ЗМШ;2013;31;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\177;ЗМШ;2013;31;['комбинаторика', 'шахматы', '']
;D:\Files\Programming\TaskGen\data\178;Нина;2013;20;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\179;Нина;2013;20;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\18;25 школа;2012;71;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\180;Нина;2013;20;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\181;Нина;2013;20;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\182;Нина;2013;20;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\183;Нина;2013;20;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\184;ЗМШ;2013;32;['комбинаторика', 'слова', '']
;D:\Files\Programming\TaskGen\data\185;ЗМШ;2013;32;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\186;ЗМШ;2013;32;['комбинаторика', 'шахматы', '']
;D:\Files\Programming\TaskGen\data\187;ЗМШ;2013;41;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\188;ЗМШ;2013;41;['комбинаторика', '', '']
